Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2026,"Vinnie Pasquantino","KCR",24,0.041666666,0.333333333,0.125,0.181818181,0.25,0.181818181,0.431818181,0,0.285714285,0.85783476235953,-1.849502974723905,0.21265253921349844,29.727968304540543,27676
2026,"Joey Wiemer","WSN",16,0.1875,0.25,0.75,0.538461538,0.625,1.153846153,1.778846153,0.615384615,0.714285714,6.919564849665042,5.114673024942752,0.7347616665065289,369.93910327058956,27690
2026,"Pete Crow-Armstrong","CHC",20,0,0.35,0,0.2,0.2,0.25,0.45,0.05,0.307692307,0.5585179302695109,-1.6975968506333516,0.20236482620239257,25.931140259268204,27769
2026,"Junior Caminero","TBR",14,0.285714285,0,4,0.3,0.5,0.3,0.8,0,0.3,2.4751089394897683,0.8958285928577642,0.3982794114521572,161.8134228627885,28163
2026,"Javier Sanoja","MIA",15,0,0.133333333,0,0.333333333,0.333333333,0.4,0.733333333,0.066666667,0.384615384,1.8815772212897732,0.18949113561262615,0.3306945482889811,106.23454192699624,28253
2026,"Carter Jensen","KCR",10,0.2,0.2,1,0.25,0.4,0.25,0.65,0,0.333333333,1.2069477206059285,0.07889033015449715,0.32445167303085326,107.94831214223545,29478
2026,"Jackson Merrill","SDP",14,0.142857142,0.285714285,0.5,0.25,0.357142857,0.333333333,0.69047619,0.083333333,0.375,1.6974201840185947,0.11813983738659091,0.32517486810684204,107.5622241621159,29490
2026,"James Wood","WSN",20,0.15,0.3,0.5,0.176470588,0.3,0.411764705,0.711764705,0.235294117,0.2,2.4260110550702296,0.16989627416736702,0.3252489000558853,104.01449144186317,29518
2026,"Ben Rice","NYY",10,0.1,0.4,0.25,0.222222222,0.3,0.222222222,0.522222222,0,0.4,0.6681033428703421,-0.45995404758108915,0.2535380065441132,62.62797755752213,29576
2026,"Connor Norby","MIA",18,0.222222222,0.055555555,4,0.153846153,0.388888888,0.153846153,0.542735041,0,0.166666666,1.8417370070503805,-0.18876629576219592,0.3002681963973575,86.47663331215112,29592
2026,"Sal Frelick","MIL",18,0.111111111,0.166666666,0.666666666,0.133333333,0.277777777,0.333333333,0.61111111,0.2,0.09090909,1.7088526299669866,-0.32165067284558957,0.29055263267623055,82.19410778317689,29622
2026,"Caleb Durbin","BOS",11,0.09090909,0.09090909,1,0,0.09090909,0,0.09090909,0,0,-0.845428411562587,-2.086291541059161,0.0644669695334001,-75.17207929421576,29646
2026,"Matt McLain","CIN",16,0.1875,0.1875,1,0.333333333,0.5,0.333333333,0.833333333,0,0.444444444,2.942267364593011,1.1373755398707208,0.4076208919286728,152.76582795983177,29695
2026,"Colson Montgomery","CHW",13,0.076923076,0.307692307,0.25,0.3,0.461538461,0.7,1.161538461,0.4,0.4,3.3569119209872484,1.8904373134003885,0.5054445862770081,237.4391912193418,29712
2026,"Max Muncy","ATH",19,0.052631578,0.315789473,0.166666666,0.277777777,0.315789473,0.666666666,0.982456139,0.388888889,0.363636363,3.7318539996825835,1.5885449578248643,0.42409979983379964,177.87160232941739,29779
2026,"Liam Hicks","MIA",11,0,0,0,0.181818181,0.181818181,0.181818181,0.363636362,0,0.181818181,0.00341598428946685,-1.2374471452071076,0.16602212732488458,-0.6985092775303016,29844
2026,"Denzel Clarke","ATH",15,0.066666666,0.266666666,0.25,0.214285714,0.266666666,0.214285714,0.48095238,0,0.3,0.7327328254377196,-0.9593532602394274,0.22990011771519978,41.99965601090397,29858
2026,"Jacob Young","WSN",13,0.076923076,0.153846153,0.5,0.181818181,0.25,0.363636363,0.613636363,0.181818182,0.222222222,1.1011188296114123,-0.36535577797544855,0.27708329260349274,72.73727247678355,29931
2026,"Brady House","WSN",15,0.066666666,0.2,0.333333333,0.428571428,0.466666666,0.571428571,1.038095237,0.142857143,0.545454545,3.4142659858191795,1.7221799001420328,0.46516575415929157,194.87206210621818,29993
2026,"Daylen Lile","WSN",17,0.117647058,0.176470588,0.666666666,0.4,0.470588235,0.4,0.870588235,0,0.5,3.1014244018641897,1.1837268380967563,0.4057060900856467,156.26084071428096,29995
2026,"Victor Scott II","STL",12,0,0.083333333,0,0.454545454,0.454545454,0.454545454,0.909090908,0,0.5,2.274489976004648,0.9208211074629304,0.4150553183122115,164.38958608455272,31349
2026,"Jakob Marsee","MIA",25,0.12,0.28,0.428571428,0.2,0.32,0.35,0.67,0.15,0.285714285,2.679680482636013,-0.14046299349256533,0.30667529582977293,90.63720062310571,31370
2026,"Sal Stewart","CIN",16,0.3125,0.0625,5,0.454545454,0.625,0.909090909,1.534090909,0.454545455,0.444444444,5.633876384661225,3.8289845599389354,0.6290111859639486,296.52966837498514,31505
2026,"Drake Baldwin","ATL",18,0.055555555,0.166666666,0.333333333,0.3125,0.388888888,0.5,0.888888888,0.1875,0.333333333,3.2515414126128603,1.221038109800284,0.4033431013425191,154.2515893774761,31539
2026,"Chase Meidroth","CHW",10,0.1,0.2,0.5,0.333333333,0.4,0.555555555,0.955555555,0.222222222,0.428571428,1.961947729664162,0.8338903392127308,0.4238121211528778,180.32497868206278,31580
2026,"Brooks Lee","MIN",18,0.055555555,0.222222222,0.25,0.176470588,0.222222222,0.176470588,0.39869281,0,0.23076923,0.3552038829018541,-1.675299419910722,0.19158343142933315,17.32720596093616,31595
2026,"Cole Young","SEA",17,0,0.176470588,0,0.375,0.411764705,0.75,1.161764705,0.375,0.416666666,4.402384348166982,2.484686784399548,0.5064181755570805,245.15389242644378,31680
2026,"Otto Kemp","PHI",10,0,0.5,0,0.222222222,0.3,0.222222222,0.522222222,0,0.5,0.6931033428703419,-0.43495404758108935,0.25682808756828307,58.00743251559661,31792
2026,"Roman Anthony","BOS",12,0,0.25,0,0.333333333,0.333333333,0.333333333,0.666666666,0,0.444444444,1.2652617770318189,-0.08840709150989867,0.30437390009562176,92.67897604830739,31812
2026,"Chandler Simpson","TBR",14,0.071428571,0.071428571,1,0.384615384,0.428571428,0.384615384,0.813186812,0,0.416666666,2.2462645798706484,0.6669842332386443,0.3767675118786948,146.76260695944575,31912
2026,"Ben Williamson","TBR",12,0,0.166666666,0,0.25,0.25,0.25,0.5,0,0.3,0.5714173902379986,-0.7822514783037189,0.2282804250717163,42.873510604957424,33197
2026,"Jacob Wilson","ATH",14,0,0.071428571,0,0.285714285,0.285714285,0.428571428,0.714285713,0.142857143,0.307692307,1.6135758153412414,0.03429546870923778,0.31729330335344585,103.14436077098638,33266
2026,"Brice Matthews","HOU",14,0,0.571428571,0,0.142857142,0.142857142,0.428571428,0.57142857,0.285714286,0.2,0.8706914201413809,-0.7085889264906229,0.2474604504449027,57.80296907951755,33280
2026,"Luke Keaschall","MIN",25,0.08,0.24,0.333333333,0.260869565,0.32,0.304347826,0.624347826,0.043478261,0.352941176,2.394680555101882,-0.42546292102669636,0.2916725301742554,87.35461539527921,33321
2026,"Matt Shaw","CHC",14,0.071428571,0.142857142,0.5,0.307692307,0.357142857,0.538461538,0.895604395,0.230769231,0.3,2.497224571464608,0.9179442248326041,0.40035833205495563,154.50184794390225,33322
2026,"Wyatt Langford","TEX",14,0,0.428571428,0,0.071428571,0.071428571,0.214285714,0.285714285,0.142857143,0.125,-0.49795739938962014,-2.077237746021624,0.11880429301943098,-31.3513857254715,33333
2026,"Jung Hoo Lee","SFG",13,0.076923076,0.153846153,0.5,0.09090909,0.153846153,0.181818181,0.335664334,0.090909091,0.1,-0.10326998645934353,-1.5697445940462043,0.15515908369651207,-4.1415184483659475,33824
2026,"JJ Wetherholt","STL",15,0.2,0.2,1,0.272727272,0.4,0.272727272,0.672727272,0,0.333333333,1.8104215809088926,0.11833549523174572,0.32445167303085326,105.55445034375597,34985
2026,"Jac Caglianone","KCR",14,0,0.5,0,0.153846153,0.214285714,0.23076923,0.445054944,0.076923077,0.333333333,0.4897314194891881,-1.0895489271428156,0.2116493284702301,29.02607119138119,35041
2026,"Cam Smith","HOU",19,0.105263157,0.315789473,0.333333333,0.1875,0.315789473,0.375,0.690789473,0.1875,0.222222222,2.276854035915518,0.13354499405779857,0.3233194257083692,110.87775531155933,35108
2026,"Nick Kurtz","ATH",16,0.1875,0.5,0.375,0.23076923,0.375,0.23076923,0.60576923,0,0.6,1.6845786000636043,-0.12031322465868576,0.30417344346642494,93.96504142901622,35110
2026,"Kazuma Okamoto","TOR",12,0.25,0.166666666,1.5,0.444444444,0.583333333,0.444444444,1.027777777,0,0.571428571,2.8817949102385785,1.528126041696861,0.48165806631247204,221.6888600551134,37123
