date,home_park_id,bias_offset,projected_total_adj,bias_source,park_blend,park_residual,park_n,global_residual,n_recent
2024-04-13,BOS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,CLE,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,CWS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,DET,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,HOU,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,MIA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,NYM,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,SEA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,TOR,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,ATH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,AZ,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,BAL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,BOS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,CLE,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,CWS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,DET,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,HOU,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,MIA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,NYM,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,SEA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-04-14,TOR,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,ATH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,AZ,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,BAL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,BOS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,CWS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,DET,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,HOU,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,MIA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,MIL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,NYM,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,SEA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-04-15,TOR,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,ATH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,AZ,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,BAL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,BOS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,DET,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,HOU,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,MIA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,MIL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,NYM,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,SEA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-04-16,TOR,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,ATH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,AZ,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,BAL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,BOS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,CWS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,DET,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,HOU,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,MIA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,MIL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,NYM,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,SEA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-04-17,TOR,-0.66,8.14,fallback,fallback,,0,,0
2024-04-18,BOS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-18,DET,-0.66,8.14,fallback,fallback,,0,,0
2024-04-18,SF,-0.66,8.14,fallback,fallback,,0,,0
2024-04-18,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,ATL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,CHC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,CIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,CLE,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,KC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,MIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,NYY,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,PIT,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,SD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,SF,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,STL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-19,WSH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,ATL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,CHC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,CIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,CLE,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,COL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,KC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,LAD,-0.66,8.14,fallback,fallback,,0,,0
