date,home_team,away_team,close_total,actual_total,temp_f,offset_uncapped,offset_capped,was_clamped,label_uncapped,label_capped,adj_uncapped,adj_capped,actual_over_vegas,uncapped_says_over,capped_says_over,only_uncapped_over
2025-04-06,SF,SEA,9.5,9.0,60.9,0.45999999999999996,0.45999999999999996,False,global,global,9.96,9.96,False,False,False,False
2025-04-07,WSH,LAD,8.5,10.0,48.8,1.322,1.322,False,blend,blend,9.822,9.822,True,True,True,False
2025-04-07,NYM,MIA,7.0,2.0,43.2,0.7240000000000001,0.7240000000000001,False,global,global,7.724,7.724,False,True,True,False
2025-04-07,PIT,STL,7.0,12.0,51.7,0.7240000000000001,0.7240000000000001,False,global,global,7.724,7.724,True,True,True,False
2025-04-07,ATH,SD,8.5,9.0,70.5,0.7240000000000001,0.7240000000000001,False,global,global,9.224,9.224,True,True,True,False
2025-04-07,SF,CIN,7.5,2.0,57.7,0.7240000000000001,0.7240000000000001,False,global,global,8.224,8.224,False,True,True,False
2025-04-07,KC,MIN,7.5,6.0,49.3,-0.08000000000000002,-0.08000000000000002,False,safety_valve,safety_valve,7.42,7.42,False,False,False,False
2025-04-07,CHC,TEX,7.5,7.0,32.7,0.7240000000000001,0.7240000000000001,False,global,global,8.224,8.224,False,True,True,False
2025-04-07,SEA,HOU,7.0,7.0,53.8,0.562,0.562,False,blend,blend,7.562,7.562,False,True,True,False
2025-04-07,DET,NYY,7.5,8.0,38.0,0.7240000000000001,0.7240000000000001,False,global,global,8.224,8.224,True,True,True,False
2025-04-07,AZ,BAL,9.5,6.0,85.6,0.7240000000000001,0.7240000000000001,False,global,global,10.224,10.224,False,True,True,False
2025-04-07,BOS,TOR,8.0,8.0,35.5,0.7240000000000001,0.7240000000000001,False,global,global,8.724,8.724,False,True,True,False
2025-04-08,BOS,TOR,8.0,7.0,33.9,0.78,0.78,False,global,global,8.78,8.78,False,True,True,False
2025-04-08,ATL,PHI,9.0,12.0,54.1,0.78,0.78,False,global,global,9.78,9.78,True,True,True,False
2025-04-08,DET,NYY,7.0,5.0,35.0,0.78,0.78,False,global,global,7.78,7.78,False,True,True,False
2025-04-08,PIT,STL,8.0,8.0,34.7,0.78,0.78,False,global,global,8.78,8.78,False,True,True,False
2025-04-08,WSH,LAD,9.0,10.0,42.3,1.29,1.29,False,blend,blend,10.29,10.29,True,True,True,False
2025-04-08,NYM,MIA,7.0,15.0,38.0,0.78,0.78,False,global,global,7.78,7.78,True,True,True,False
2025-04-08,CLE,CWS,7.5,1.0,35.4,0.78,0.78,False,global,global,8.28,8.28,False,True,True,False
2025-04-08,TB,LAA,7.5,7.0,66.0,-1.7600000000000002,-1.5,True,safety_valve,safety_valve_clamped,5.74,6.0,False,False,False,False
2025-04-08,KC,MIN,8.0,3.0,55.2,-0.26666666666666666,-0.26666666666666666,False,safety_valve,safety_valve,7.733333333333333,7.733333333333333,False,False,False,False
2025-04-08,SEA,HOU,7.5,3.0,51.5,0.5614285714285714,0.5614285714285714,False,blend,blend,8.061428571428571,8.061428571428571,False,True,True,False
2025-04-08,SF,CIN,7.5,1.0,59.7,0.78,0.78,False,global,global,8.28,8.28,False,True,True,False
2025-04-08,AZ,BAL,9.0,7.0,90.6,1.07,1.07,False,blend,blend,10.07,10.07,False,True,True,False
2025-04-08,ATH,SD,9.5,14.0,71.4,0.78,0.78,False,global,global,10.28,10.28,True,True,True,False
2025-04-08,COL,MIL,10.5,8.0,71.4,0.78,0.78,False,global,global,11.28,11.28,False,True,True,False
2025-04-08,CHC,TEX,8.5,16.0,35.2,0.78,0.78,False,global,global,9.28,9.28,True,True,True,False
2025-04-09,TB,LAA,8.5,9.0,71.5,-1.5333333333333334,-1.5,True,safety_valve,safety_valve_clamped,6.966666666666667,7.0,True,False,False,False
2025-04-09,ATL,PHI,8.0,7.0,62.2,0.43200000000000005,0.43200000000000005,False,global,global,8.432,8.432,False,False,False,False
