home_team,away_team,home_sp,away_sp,xgb_l1,stacker_l2,team_log_odds,actual_home_win,game_date,game_pk,model_prob,bet_type,home_score_final,away_score_final,actual,close_ml_home,pinnacle_ml_home,retail_implied_home,P_true_home,retail_odds,retail_imp,p_true,P_true,retail_implied_prob,edge,sanity_check_pass,odds_floor_pass,tier,dollar_stake,actionable,market,lam_home,lam_away,total_line,p_over_dc,p_over_xgb,p_over_final,p_cover_dc,p_cover_xgb,p_home_cover_final,actual_total,close_total,pinnacle_total_over_odds,retail_implied_over,P_true_over,home_covers_rl,runline_home_odds,pinnacle_rl_home_odds,retail_implied_rl_home,P_true_rl_home,actual_f5_home,actual_f5_away,actual_f5_win,f5_home_win,skip_sanity,p_stk_nrfi,pois_p_nrfi,actual_f1_home,actual_f1_away,actual_nrfi,f1_nrfi
NYY,MIA,RYAN WEATHERS,MAX MEYER,,,,,2026-04-04,823569,0.6513,OVER,9.0,7.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.1275,True,True,1.0,50.0,True,TOT,7.098,3.892,8.5,0.5679,0.7672,0.6513,0.8246,0.926,0.8588,16.0,,,,,,,,,,,,,,,,,,,,
DET,STL,JACK FLAHERTY,DUSTIN MAY,,,,,2026-04-04,824295,0.5868,OVER,11.0,6.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.063,True,True,1.0,50.0,True,TOT,4.225,5.866,8.5,0.4995,0.6773,0.5868,0.7431,0.4855,0.5122,17.0,,,,,,,,,,,,,,,,,,,,
WSH,LAD,FOSTER GRIFFIN,ROKI SASAKI,,,,,2026-04-05,822756,0.6372,OVER,6.0,8.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.1134,True,True,1.0,50.0,True,TOT,5.49,5.431,8.5,0.6834,0.7609,0.6372,0.4577,0.6839,0.5878,14.0,,,,,,,,,,,,,,,,,,,,
NYY,MIA,MAX FRIED,PETE FAIRBANKS,,,,,2026-04-05,823566,0.6905,OVER,6.0,7.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.1667,True,True,1.0,50.0,True,TOT,7.632,3.9,8.5,0.5679,0.8119,0.6905,0.8246,0.9422,0.8782,13.0,,,,,,,,,,,,,,,,,,,,
MIN,TB,SIMEON WOODS RICHARDSON,NICK MARTINEZ,,,,,2026-04-05,823729,0.5769,OVER,1.0,4.0,0,,,,,-110.0,0.5238095238095238,,,0.5238,0.0531,True,True,1.0,50.0,True,TOT,4.794,5.202,8.5,0.5316,0.6668,0.5769,0.656,0.6381,0.5936,5.0,,,,,,,,,,,,,,,,,,,,
DET,STL,KEIDER MONTERO,KYLE LEAHY,,,,,2026-04-05,824296,0.6313,OVER,3.0,5.0,0,,,,,-110.0,0.5238095238095238,,,0.5238,0.1075,True,True,1.0,50.0,True,TOT,5.856,4.805,8.5,0.4995,0.7365,0.6313,0.7431,0.7852,0.7145,8.0,,,,,,,,,,,,,,,,,,,,
ATH,HOU,JACOB LOPEZ,LANCE MCCULLERS JR.,,,,,2026-04-05,825025,0.6667,OVER,12.0,10.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.1429,True,True,1.0,50.0,True,TOT,5.488,5.716,8.5,0.5722,0.7856,0.6667,0.5151,0.6505,0.5752,22.0,,,,,,,,,,,,,,,,,,,,
WSH,STL,ZACK LITTELL,ANDRE PALLANTE,,,,,2026-04-06,822755,0.776,OVER,9.0,6.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.2522,True,True,1.0,50.0,True,TOT,6.224,6.692,8.5,0.6108,0.8963,0.776,0.6574,0.6151,0.5786,15.0,,,,,,,,,,,,,,,,,,,,
PIT,SD,BUBBA CHANDLER,GERMAN MARQUEZ,,,,,2026-04-06,823401,0.5546,OVER,0.0,5.0,0,,,,,-110.0,0.5238095238095238,,,0.5238,0.0308,True,True,1.0,32.0,True,TOT,6.019,3.582,8.5,0.4009,0.6205,0.5546,0.5951,0.9021,0.8024,5.0,,,,,,,,,,,,,,,,,,,,
WSH,STL,CADE CAVALLI,MATTHEW LIBERATORE,,,,,2026-04-07,822754,0.7423,OVER,6.0,7.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.2185,True,True,1.0,50.0,True,TOT,5.518,6.837,8.5,0.6108,0.8669,0.7423,0.6574,0.5229,0.5197,13.0,,,,,,,,,,,,,,,,,,,,
