date,game,home_abbr,away_abbr,model,bet_type,pick_direction,model_prob,P_true,Retail_Implied_Prob,edge,retail_american_odds,tier,dollar_stake,signal_flags,result,profit_loss,graded_at
2026-04-15,Miami Marlins @ Atlanta Braves,ATL,MIA,ML,Moneyline,HOME,0.852,0.6158,0.603285,0.2487,-171.0,1,50.0,,WIN,29.24,2026-04-22T13:47:45+00:00
2026-04-15,Miami Marlins @ Atlanta Braves,ATL,MIA,Runline,Runline -1.5,HOME,0.829,0.4417,0.428372,0.4006,123.0,1,50.0,,WIN,61.5,2026-04-22T13:47:45+00:00
2026-04-15,AZ @ Baltimore Orioles,BAL,AZ,Runline,Runline -1.5,HOME,0.4839,0.413,0.428372,0.0555,123.0,1,32.15,,LOSS,-32.15,2026-04-22T13:47:45+00:00
2026-04-15,AZ @ Baltimore Orioles,BAL,AZ,Totals,Total 8.5,OVER,0.6495,0.4854,0.49567,0.1538,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-15,San Francisco Giants @ Cincinnati Reds,CIN,SF,ML,Moneyline,HOME,0.68,0.4907,0.482636,0.1974,-102.0,1,50.0,,WIN,49.02,2026-04-22T13:47:45+00:00
2026-04-15,San Francisco Giants @ Cincinnati Reds,CIN,SF,Runline,Runline -1.5,HOME,0.8051,0.5988,0.599713,0.2054,-168.0,1,50.0,,WIN,29.76,2026-04-22T13:47:45+00:00
2026-04-15,Tampa Bay Rays @ Chicago White Sox,CWS,TB,Totals,Total 8.5,OVER,0.5526,0.4809,0.489166,0.0634,-110.0,1,30.23,,WIN,27.48,2026-04-22T13:47:45+00:00
2026-04-15,Kansas City Royals @ Detroit Tigers,DET,KC,ML,Moneyline,HOME,0.692,0.548,0.542384,0.1496,-131.0,1,50.0,,WIN,38.17,2026-04-22T13:47:45+00:00
2026-04-15,Kansas City Royals @ Detroit Tigers,DET,KC,Runline,Runline -1.5,HOME,0.6578,0.3703,0.369133,0.2887,159.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-15,Toronto Blue Jays @ Milwaukee Brewers,MIL,TOR,Runline,Runline -1.5,HOME,0.7829,,0.592911,0.19,-163.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-15,Boston Red Sox @ Minnesota Twins,MIN,BOS,Totals,Total 8.5,OVER,0.5823,0.5113,0.510834,0.0715,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-15,Los Angeles Angels @ New York Yankees,NYY,LAA,ML,Moneyline,HOME,0.848,,0.630867,0.2171,-194.0,1,50.0,,WIN,25.77,2026-04-22T13:47:45+00:00
2026-04-15,Los Angeles Angels @ New York Yankees,NYY,LAA,Runline,Runline -1.5,HOME,0.8187,,0.478261,0.3404,100.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-15,Los Angeles Angels @ New York Yankees,NYY,LAA,Totals,Total 8.5,OVER,0.611,,0.482636,0.1284,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-15,Chicago Cubs @ Philadelphia Phillies,PHI,CHC,Runline,Runline -1.5,HOME,0.5918,0.388,0.396715,0.1951,141.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-15,Washington Nationals @ Pittsburgh Pirates,PIT,WSH,ML,Moneyline,HOME,0.779,,0.615958,0.163,-181.0,1,50.0,,WIN,27.62,2026-04-22T13:47:45+00:00
2026-04-15,Washington Nationals @ Pittsburgh Pirates,PIT,WSH,Runline,Runline -1.5,HOME,0.9173,,0.448942,0.4684,113.0,1,50.0,,WIN,56.5,2026-04-22T13:47:45+00:00
2026-04-15,Cleveland Guardians @ St. Louis Cardinals,STL,CLE,ML,Moneyline,HOME,0.749,0.5127,0.50433,0.2447,-112.0,1,50.0,,WIN,44.64,2026-04-22T13:47:45+00:00
2026-04-15,Cleveland Guardians @ St. Louis Cardinals,STL,CLE,Runline,Runline -1.5,HOME,0.7639,0.3425,0.610216,0.1537,-177.0,1,50.0,,WIN,28.25,2026-04-22T13:47:45+00:00
2026-04-16,Baltimore Orioles @ Cleveland Guardians,CLE,BAL,Runline,Runline -1.5,HOME,0.7948,0.5627,0.464458,0.3303,102.0,1,50.0,,WIN,51.0,2026-04-22T13:47:45+00:00
2026-04-17,Detroit Tigers @ Boston Red Sox,BOS,DET,Runline,Runline -1.5,HOME,0.6526,0.3529,0.363583,0.289,163.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-17,New York Mets @ Chicago Cubs,CHC,NYM,Runline,Runline -1.5,HOME,0.7985,0.5412,0.6086,0.1899,-184.0,1,50.0,,WIN,27.17,2026-04-22T13:47:45+00:00
2026-04-17,Baltimore Orioles @ Cleveland Guardians,CLE,BAL,Runline,Runline -1.5,HOME,0.6373,0.3748,0.378017,0.2593,153.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-17,Kansas City Royals @ New York Yankees,NYY,KC,ML,Moneyline,HOME,0.722,0.6205,0.615958,0.106,-181.0,1,50.0,,WIN,27.62,2026-04-22T13:47:45+00:00
2026-04-17,Kansas City Royals @ New York Yankees,NYY,KC,Runline,Runline -1.5,HOME,0.7801,0.4452,0.436917,0.3432,119.0,1,50.0,,WIN,59.5,2026-04-22T13:47:45+00:00
2026-04-17,Tampa Bay Rays @ Pittsburgh Pirates,PIT,TB,ML,Moneyline,HOME,0.756,0.521,0.537488,0.2185,-128.0,1,50.0,,WIN,39.06,2026-04-22T13:47:45+00:00
